|TIPO    |NBI_KV|FABRICANTE|USO_EXTERNO|ESCOAMENTO_MM|FLEXAO_KN    |TRACAO        |TORCAO       |COMPRESSAO    |FLASHOVER_POSITIVO_KV|TENSAO_APLICADA_KV|RI_TENSAO_KV|RI_EM_1000_KHZ_UV|PESO_LIQUIDO_KG|ALTURA_MM     |DIAMETRO_DA_MAIOR_SAIA|NUMERO_DE_ISOL_NA_EMB|PESO_BRUTO_KG|DFURACAO|DNUCLEO|MATERIAL_INDEX|COR|ROSCA|
|--------|------|----------|-----------|-------------|-------------|--------------|-------------|--------------|---------------------|------------------|------------|-----------------|---------------|--------------|----------------------|---------------------|-------------|--------|-------|--------------|---|-----|
|PTR-740 |550   |SANTANA   |           |3,150        |20           |89            |10.3000001907|267           |                     |                  |73          |200              |242            |1,220         |250                   |1                    |             |        |100    |              |   |     |
|TR-1    |95    |SANTANA   |           |190          |9            |23            |700          |45            |                     |                  |            |                 |6.25           |190           |                      |                     |             |        |100    |              |   |     |
|TR-13   |250   |SANTANA   |           |914          |9            |36            |1,400        |67            |280                  |                  |30          |200              |28             |457           |355                   |1                    |             |        |100    |              |   |     |
|TR-202  |95    |SANTANA   |Y          |267          |8.8999996185 |31.1000003815 |0.6800000072 |44.5          |105                  |30                |5           |50               |7.6999998093   |190.5         |166                   |3                    |26           |        |100    |              |   |     |
|TR-205  |110   |SANTANA   |Y          |394          |8.8999996185 |37.7999992371 |0.7900000215 |44.5          |125                  |45                |10          |50               |10             |254           |161                   |3                    |35.2999992371|        |100    |              |   |     |
|TR-208  |150   |SANTANA   |Y          |610          |8.8999996185 |44.5          |0.8999999762 |44.5          |170                  |60                |15          |100              |15             |355.6000061035|158                   |2                    |34           |        |100    |              |   |     |
|TR-210  |200   |SANTANA   |Y          |940          |8.8999996185 |53.4000015259 |1.1299999952 |66.6999969482 |225                  |80                |22          |100              |18.7000007629  |457.200012207 |184                   |1                    |23.7000007629|        |100    |              |   |     |
|TR-214  |250   |SANTANA   |Y          |1,092        |8.8999996185 |62.2999992371 |1.3600000143 |66.6999969482 |280                  |100               |30          |200              |24.3999996185  |558.799987793 |190                   |1                    |27.3999996185|        |100    |              |   |     |
|TR-216  |350   |SANTANA   |Y          |1,829        |6.6999998093 |71.1999969482 |1.7000000477 |111           |390                  |145               |44          |200              |30.8999996185  |762           |216                   |1                    |36           |        |100    |              |   |     |
|TR-222  |95    |SANTANA   |Y          |267          |17.7999992371|66.6999969482 |1.3600000143 |88.9000015259 |105                  |30                |5           |50               |12             |254           |170                   |3                    |41           |        |100    |              |   |     |
|TR-225  |110   |SANATANA  |           |394          |17.7999992371|88.9000015259 |1.5800000429 |88.9000015259 |125                  |                  |10          |50               |15             |305           |180                   |1                    |             |        |100    |              |   |     |
|TR-227  |150   |SANTANA   |           |610          |17.7999992371|88.9000015259 |1.8099999428 |88.9000015259 |170                  |60                |15          |100              |19             |381           |176                   |1                    |43           |        |100    |              |   |     |
|TR-267  |250   |SANTANA   |           |1,092        |17.7999992371|111           |2.2599999905 |267           |280                  |                  |30          |200              |32             |610           |190                   |1                    |             |        |100    |              |   |     |
|TR-278  |350   |SANTANA   |           |1,828        |13.3000001907|111           |4.5199999809 |267           |390                  |180               |44          |200              |46             |762           |230                   |1                    |             |        |100    |              |   |     |
|TR-286  |550   |SANTANA   |Y          |2,515        |7.5999999046 |88.9000015259 |4.5199999809 |267           |610                  |30                |73          |200              |57             |1,143         |220                   |1                    |76           |        |100    |              |   |     |
|TR-288  |650   |SANTANA   |Y          |2,515        |6.1999998093 |88.9000015259 |4.5199999809 |267           |610                  |230               |88          |200              |65             |1,372         |200                   |1                    |85           |        |100    |              |   |     |
|TR-289  |650   |SANTANA   |           |2,946        |9.8000001907 |111           |10.1700000763|334           |610                  |230               |88          |200              |85             |1,372         |225                   |1                    |106          |        |100    |              |   |     |
|TR-291  |750   |SANTANA   |Y          |3,353        |5.3000001907 |88.9000015259 |4.5199999809 |267           |810                  |315               |103         |500              |70             |1,575         |200                   |1                    |92           |        |100    |              |   |     |
|TR-295  |750   |SANTANA   |Y          |3,353        |8.1999998093 |111           |10.1700000763|334           |810                  |315               |103         |500              |92             |1,575         |215                   |1                    |115          |        |100    |              |   |     |
